covariate_id,covariate_name,covariate_analysis_id,analysis_id,database_id
4038845212,condition_era group during day -30 through 0 days relative to index: Hairy cell leukemia,212,1,cdm_premier_covid_v1240
4040380212,condition_era group during day -30 through 0 days relative to index: Mycosis fungoides,212,1,cdm_premier_covid_v1240
4040385212,condition_era group during day -30 through 0 days relative to index: Congenital anomaly of the urinary tract proper,212,1,cdm_premier_covid_v1240
4040416212,condition_era group during day -30 through 0 days relative to index: Acquired language disorder,212,1,cdm_premier_covid_v1240
4179462212,condition_era group during day -30 through 0 days relative to index: Lesion of thoracic spine,212,1,cdm_premier_covid_v1240
4179527212,condition_era group during day -30 through 0 days relative to index: Compression fracture of vertebral column,212,1,cdm_premier_covid_v1240
4181019212,condition_era group during day -30 through 0 days relative to index: Cluster B personality disorder,212,1,cdm_premier_covid_v1240
4181047212,condition_era group during day -30 through 0 days relative to index: Digestive system hereditary disorder,212,1,cdm_premier_covid_v1240
4181062212,condition_era group during day -30 through 0 days relative to index: Inflammation of skin and/or subcutaneous tissue,212,1,cdm_premier_covid_v1240
4181063212,condition_era group during day -30 through 0 days relative to index: Inflammation of specific body organs,212,1,cdm_premier_covid_v1240
4181064212,condition_era group during day -30 through 0 days relative to index: Inflammatory disorder of extremity,212,1,cdm_premier_covid_v1240
4241530212,condition_era group during day -30 through 0 days relative to index: Asymptomatic human immunodeficiency virus infection,212,1,cdm_premier_covid_v1240
45757199212,condition_era group during day -30 through 0 days relative to index: Malnutrition in mother complicating childbirth,212,1,cdm_premier_covid_v1240
4013596212,condition_era group during day -30 through 0 days relative to index: Closed fracture thoracic vertebra,212,1,cdm_premier_covid_v1240
4013597212,"condition_era group during day -30 through 0 days relative to index: Closed fracture thoracic vertebra, wedge",212,1,cdm_premier_covid_v1240
4013604212,condition_era group during day -30 through 0 days relative to index: Closed fracture lumbar vertebra,212,1,cdm_premier_covid_v1240
4013605212,"condition_era group during day -30 through 0 days relative to index: Closed fracture lumbar vertebra, burst",212,1,cdm_premier_covid_v1240
4012222212,condition_era group during day -30 through 0 days relative to index: Central abdominal pain,212,1,cdm_premier_covid_v1240
4012231212,condition_era group during day -30 through 0 days relative to index: Poor stream of urine,212,1,cdm_premier_covid_v1240
4012234212,condition_era group during day -30 through 0 days relative to index: Genitourinary pain,212,1,cdm_premier_covid_v1240
200219212,condition_era group during day -30 through 0 days relative to index: Abdominal pain,212,1,cdm_premier_covid_v1240
198819212,condition_era group during day -30 through 0 days relative to index: Obstetrical injury to pelvic organ,212,1,cdm_premier_covid_v1240
200319212,condition_era group during day -30 through 0 days relative to index: Herpetic infection of penis,212,1,cdm_premier_covid_v1240
198860212,condition_era group during day -30 through 0 days relative to index: Congenital anomaly of lower alimentary tract,212,1,cdm_premier_covid_v1240
198861212,condition_era group during day -30 through 0 days relative to index: Congenital anomaly of fallopian tubes,212,1,cdm_premier_covid_v1240
200348212,condition_era group during day -30 through 0 days relative to index: Secondary malignant neoplasm of large intestine,212,1,cdm_premier_covid_v1240
200349212,condition_era group during day -30 through 0 days relative to index: Malignant lymphoma of intra-abdominal lymph nodes,212,1,cdm_premier_covid_v1240
200355212,condition_era group during day -30 through 0 days relative to index: Hodgkin's disease of intra-abdominal lymph nodes,212,1,cdm_premier_covid_v1240
198892212,condition_era group during day -30 through 0 days relative to index: Internal injury of abdominal organs without open wound into cavity,212,1,cdm_premier_covid_v1240
200445212,condition_era group during day -30 through 0 days relative to index: Chronic prostatitis,212,1,cdm_premier_covid_v1240
200447212,condition_era group during day -30 through 0 days relative to index: Gastrointestinal complication,212,1,cdm_premier_covid_v1240
198964212,condition_era group during day -30 through 0 days relative to index: Chronic hepatitis C,212,1,cdm_premier_covid_v1240
377888212,condition_era group during day -30 through 0 days relative to index: Conductive hearing loss,212,1,cdm_premier_covid_v1240
377889212,condition_era group during day -30 through 0 days relative to index: Hearing loss,212,1,cdm_premier_covid_v1240
377910212,condition_era group during day -30 through 0 days relative to index: Deviated nasal septum,212,1,cdm_premier_covid_v1240
378001212,condition_era group during day -30 through 0 days relative to index: Concussion with no loss of consciousness,212,1,cdm_premier_covid_v1240
197656212,condition_era group during day -30 through 0 days relative to index: Medullary cystic disease of the kidney,212,1,cdm_premier_covid_v1240
197672212,condition_era group during day -30 through 0 days relative to index: Urinary incontinence,212,1,cdm_premier_covid_v1240
197675212,condition_era group during day -30 through 0 days relative to index: Incontinence of feces,212,1,cdm_premier_covid_v1240
197676212,condition_era group during day -30 through 0 days relative to index: Large liver,212,1,cdm_premier_covid_v1240
197684212,condition_era group during day -30 through 0 days relative to index: Dysuria,212,1,cdm_premier_covid_v1240
197751212,condition_era group during day -30 through 0 days relative to index: Burn of lower limb,212,1,cdm_premier_covid_v1240
197795212,condition_era group during day -30 through 0 days relative to index: Acute type B viral hepatitis,212,1,cdm_premier_covid_v1240
4101733212,condition_era group during day -30 through 0 days relative to index: Congenital paraplegia,212,1,cdm_premier_covid_v1240
4102493212,condition_era group during day -30 through 0 days relative to index: Polyneuropathy in rheumatoid arthritis,212,1,cdm_premier_covid_v1240
4102334212,condition_era group during day -30 through 0 days relative to index: Myelopathy due to spondylosis,212,1,cdm_premier_covid_v1240
4102342212,condition_era group during day -30 through 0 days relative to index: Cauda equina syndrome,212,1,cdm_premier_covid_v1240
4147829212,condition_era group during day -30 through 0 days relative to index: Pain in pelvis,212,1,cdm_premier_covid_v1240
4353837212,condition_era group during day -30 through 0 days relative to index: Dilatation of pulmonary artery,212,1,cdm_premier_covid_v1240
4159511212,condition_era group during day -30 through 0 days relative to index: Intentional heroin poisoning,212,1,cdm_premier_covid_v1240
4079975212,condition_era group during day -30 through 0 days relative to index: Congenital malformation,212,1,cdm_premier_covid_v1240
4079978212,condition_era group during day -30 through 0 days relative to index: Overlap syndrome,212,1,cdm_premier_covid_v1240
4081236212,condition_era group during day -30 through 0 days relative to index: Fat necrosis,212,1,cdm_premier_covid_v1240
4081250212,condition_era group during day -30 through 0 days relative to index: Dermatomyositis sine myositis,212,1,cdm_premier_covid_v1240
4251475212,condition_era group during day -30 through 0 days relative to index: Enteritis due to radiation,212,1,cdm_premier_covid_v1240
4248716212,condition_era group during day -30 through 0 days relative to index: Neuroleptic-induced Parkinsonism,212,1,cdm_premier_covid_v1240
4248725212,"condition_era group during day -30 through 0 days relative to index: Gestation period, 14 weeks",212,1,cdm_premier_covid_v1240
4248728212,condition_era group during day -30 through 0 days relative to index: Snoring,212,1,cdm_premier_covid_v1240
4249827212,condition_era group during day -30 through 0 days relative to index: Infection due to resistant bacteria,212,1,cdm_premier_covid_v1240
4250490212,condition_era group during day -30 through 0 days relative to index: Hemolysis,212,1,cdm_premier_covid_v1240
4252534212,condition_era group during day -30 through 0 days relative to index: Disease due to Gram-negative bacillus,212,1,cdm_premier_covid_v1240
4252535212,condition_era group during day -30 through 0 days relative to index: Adenocarcinoma of liver,212,1,cdm_premier_covid_v1240
4267155212,condition_era group during day -30 through 0 days relative to index: Adenoviral respiratory disease,212,1,cdm_premier_covid_v1240
442012212,"condition_era group during day -30 through 0 days relative to index: Mechanical complication of genitourinary device, implant AND/OR graft",212,1,cdm_premier_covid_v1240
442013212,condition_era group during day -30 through 0 days relative to index: Burn,212,1,cdm_premier_covid_v1240
442019212,condition_era group during day -30 through 0 days relative to index: Complication of procedure,212,1,cdm_premier_covid_v1240
442023212,condition_era group during day -30 through 0 days relative to index: Poisoning of undetermined intent,212,1,cdm_premier_covid_v1240
442069212,condition_era group during day -30 through 0 days relative to index: Vacuum extractor delivery - delivered,212,1,cdm_premier_covid_v1240
442077212,condition_era group during day -30 through 0 days relative to index: Anxiety disorder,212,1,cdm_premier_covid_v1240
442099212,condition_era group during day -30 through 0 days relative to index: Benign neoplasm of large intestine,212,1,cdm_premier_covid_v1240
442103212,condition_era group during day -30 through 0 days relative to index: Benign neoplasm of intestinal tract,212,1,cdm_premier_covid_v1240
442104212,condition_era group during day -30 through 0 days relative to index: Benign neoplasm of descending colon,212,1,cdm_premier_covid_v1240
442105212,condition_era group during day -30 through 0 days relative to index: Benign neoplasm of soft tissue,212,1,cdm_premier_covid_v1240
4051956212,condition_era group during day -30 through 0 days relative to index: Vulvovaginal disease,212,1,cdm_premier_covid_v1240
4052543212,condition_era group during day -30 through 0 days relative to index: Acute viral bronchitis,212,1,cdm_premier_covid_v1240
4178395212,condition_era group during day -30 through 0 days relative to index: Fracture of proximal phalanx of finger,212,1,cdm_premier_covid_v1240
4112182212,condition_era group during day -30 through 0 days relative to index: Anal skin tag,212,1,cdm_premier_covid_v1240
4112183212,"condition_era group during day -30 through 0 days relative to index: Esophageal varices with bleeding, associated with another disorder",212,1,cdm_premier_covid_v1240
4113997212,condition_era group during day -30 through 0 days relative to index: Mass of oral cavity,212,1,cdm_premier_covid_v1240
4113998212,condition_era group during day -30 through 0 days relative to index: Mass of urogenital structure,212,1,cdm_premier_covid_v1240
4115406212,condition_era group during day -30 through 0 days relative to index: Pain of respiratory structure,212,1,cdm_premier_covid_v1240
4115408212,condition_era group during day -30 through 0 days relative to index: Pain of cardiovascular structure,212,1,cdm_premier_covid_v1240
4115409212,condition_era group during day -30 through 0 days relative to index: Pain of oral cavity structure,212,1,cdm_premier_covid_v1240
4115576212,condition_era group during day -30 through 0 days relative to index: Lesion of gallbladder,212,1,cdm_premier_covid_v1240
4114604212,condition_era group during day -30 through 0 days relative to index: Traumatic arthropathy-knee,212,1,cdm_premier_covid_v1240
4099889212,condition_era group during day -30 through 0 days relative to index: Anemia of pregnancy,212,1,cdm_premier_covid_v1240
4115410212,condition_era group during day -30 through 0 days relative to index: Pain of endocrine structure,212,1,cdm_premier_covid_v1240
4160218212,condition_era group during day -30 through 0 days relative to index: Retained secundines,212,1,cdm_premier_covid_v1240
4046094212,condition_era group during day -30 through 0 days relative to index: Disorder presenting primarily with chorea,212,1,cdm_premier_covid_v1240
4046100212,condition_era group during day -30 through 0 days relative to index: Idiopathic orofacial dystonia,212,1,cdm_premier_covid_v1240
4046112212,condition_era group during day -30 through 0 days relative to index: Congenital anomaly of lower respiratory system,212,1,cdm_premier_covid_v1240
4031662212,condition_era group during day -30 through 0 days relative to index: Anemia due to disturbance of hemoglobin synthesis,212,1,cdm_premier_covid_v1240
4245802212,condition_era group during day -30 through 0 days relative to index: Congenital abnormal shape of rib,212,1,cdm_premier_covid_v1240
4245842212,condition_era group during day -30 through 0 days relative to index: Umbilical hernia,212,1,cdm_premier_covid_v1240
4097550212,condition_era group during day -30 through 0 days relative to index: Legionella infection,212,1,cdm_premier_covid_v1240
4082029212,condition_era group during day -30 through 0 days relative to index: Fracture of base of skull,212,1,cdm_premier_covid_v1240
4082039212,condition_era group during day -30 through 0 days relative to index: Borreliosis,212,1,cdm_premier_covid_v1240
4096472212,condition_era group during day -30 through 0 days relative to index: Penetrating wound,212,1,cdm_premier_covid_v1240
132572212,condition_era group during day -30 through 0 days relative to index: Chronic myeloid leukemia in remission,212,1,cdm_premier_covid_v1240
132579212,condition_era group during day -30 through 0 days relative to index: Subacute thyroiditis,212,1,cdm_premier_covid_v1240
132617212,condition_era group during day -30 through 0 days relative to index: Diplegic cerebral palsy,212,1,cdm_premier_covid_v1240
132703212,condition_era group during day -30 through 0 days relative to index: Lichen planus,212,1,cdm_premier_covid_v1240
132718212,condition_era group during day -30 through 0 days relative to index: Chronic osteomyelitis of shoulder,212,1,cdm_premier_covid_v1240
132736212,condition_era group during day -30 through 0 days relative to index: Bacteremia,212,1,cdm_premier_covid_v1240
132781212,condition_era group during day -30 through 0 days relative to index: Mechanical complication of vascular device,212,1,cdm_premier_covid_v1240
132797212,condition_era group during day -30 through 0 days relative to index: Sepsis,212,1,cdm_premier_covid_v1240
132835212,condition_era group during day -30 through 0 days relative to index: Pediculosis capitis,212,1,cdm_premier_covid_v1240
4109420212,condition_era group during day -30 through 0 days relative to index: Open-angle glaucoma - borderline,212,1,cdm_premier_covid_v1240
4164092212,condition_era group during day -30 through 0 days relative to index: Acute cerebrovascular insufficiency,212,1,cdm_premier_covid_v1240
4164128212,condition_era group during day -30 through 0 days relative to index: Labor problem,212,1,cdm_premier_covid_v1240
4165570212,condition_era group during day -30 through 0 days relative to index: Fungal infection of brain,212,1,cdm_premier_covid_v1240
4164214212,condition_era group during day -30 through 0 days relative to index: Male genital abscess,212,1,cdm_premier_covid_v1240
4164432212,condition_era group during day -30 through 0 days relative to index: Poisoning by amphetamine,212,1,cdm_premier_covid_v1240
4164436212,condition_era group during day -30 through 0 days relative to index: Peripheral nerve entrapment syndrome,212,1,cdm_premier_covid_v1240
4299094212,condition_era group during day -30 through 0 days relative to index: Opioid intoxication,212,1,cdm_premier_covid_v1240
4299128212,condition_era group during day -30 through 0 days relative to index: Full thickness burn,212,1,cdm_premier_covid_v1240
